frame,time_seconds,track_id,class_name,confidence,center_x,center_y,x1,y1,x2,y2
0,0.0,1,truck,0.6769559383392334,1087.0914306640625,538.8791351318359,968.4923095703125,366.5542907714844,1205.6905517578125,711.2039794921875
0,0.0,2,car,0.6608100533485413,702.6590270996094,203.7198944091797,658.3031005859375,162.0135955810547,747.0149536132812,245.4261932373047
0,0.0,3,car,0.5983642339706421,894.2026977539062,60.746402740478516,873.75146484375,43.354331970214844,914.6539306640625,78.13847351074219
0,0.0,4,car,0.5717357993125916,804.1144409179688,120.80596160888672,772.3251342773438,95.32269287109375,835.9037475585938,146.2892303466797
0,0.0,5,car,0.551325798034668,743.306396484375,75.16719245910645,717.3088989257812,54.176090240478516,769.3038940429688,96.15829467773438
0,0.0,6,person,0.47397133708000183,1668.5480346679688,764.0502319335938,1623.302490234375,703.39453125,1713.7935791015625,824.7059326171875
0,0.0,7,truck,0.40009522438049316,56.52360534667969,540.6030426025391,0.3743133544921875,442.7096252441406,112.67289733886719,638.4964599609375
1,0.04,1,truck,0.6791574954986572,1087.103271484375,538.8938140869141,968.5146484375,366.5835876464844,1205.69189453125,711.2040405273438
1,0.04,2,car,0.6580710411071777,702.7700805664062,203.69784545898438,658.4107055664062,161.9901123046875,747.1294555664062,245.40557861328125
1,0.04,3,car,0.5914234519004822,894.2249450683594,60.711191177368164,873.7247924804688,43.27676010131836,914.72509765625,78.14562225341797
1,0.04,4,car,0.5712140202522278,804.2115478515625,120.79207611083984,772.543212890625,95.406494140625,835.8798828125,146.1776580810547
1,0.04,5,car,0.5426611304283142,743.3184509277344,75.28231620788574,717.3125610351562,54.283870697021484,769.3243408203125,96.28076171875
1,0.04,6,person,0.47449836134910583,1668.5491943359375,764.021240234375,1623.322265625,703.390625,1713.776123046875,824.65185546875
1,0.04,7,truck,0.4008224308490753,56.47961863875389,540.8062133789062,0.48727530241012573,443.1910400390625,112.47196197509766,638.42138671875
2,0.08,1,truck,0.680084228515625,1087.0976257324219,538.8392791748047,968.4872436523438,366.4938659667969,1205.7080078125,711.1846923828125
2,0.08,2,car,0.6681864857673645,702.9913940429688,203.65382385253906,658.6395263671875,161.96080017089844,747.34326171875,245.3468475341797
2,0.08,3,car,0.5880232453346252,894.2217712402344,60.6590633392334,873.6277465820312,43.14065933227539,914.8157958984375,78.1774673461914
2,0.08,4,car,0.569232165813446,804.04296875,120.85628890991211,772.2981567382812,95.4121322631836,835.7877807617188,146.30044555664062
2,0.08,5,car,0.5503020286560059,743.3114013671875,75.30081558227539,717.32373046875,54.31787109375,769.299072265625,96.28376007080078
2,0.08,6,person,0.4748990833759308,1668.5887451171875,763.9477844238281,1623.3909912109375,703.3583984375,1713.7864990234375,824.5371704101562
2,0.08,7,truck,0.397512823343277,56.454724594950676,540.7739868164062,0.4536920487880707,443.14697265625,112.45575714111328,638.4010009765625
3,0.12,1,bus,0.7300228476524353,1083.7738342285156,524.3057403564453,968.2271118164062,356.4084777832031,1199.320556640625,692.2030029296875
3,0.12,2,car,0.6488075852394104,703.2177734375,201.09385681152344,659.3544311523438,159.83152770996094,747.0811157226562,242.35618591308594
3,0.12,3,car,0.5577342510223389,894.4630126953125,60.66272735595703,874.7069702148438,43.88179016113281,914.2190551757812,77.44366455078125
3,0.12,4,car,0.5095205903053284,803.8985900878906,120.55412673950195,772.8592529296875,95.71965789794922,834.9379272460938,145.3885955810547
3,0.12,5,car,0.5723180770874023,743.534423828125,74.85004806518555,717.8822021484375,54.120018005371094,769.1866455078125,95.580078125
3,0.12,6,person,0.5464175343513489,1657.7445068359375,752.64306640625,1613.264892578125,692.9562377929688,1702.22412109375,812.3298950195312
3,0.12,7,truck,0.40065428614616394,54.44647979736328,548.5812835693359,0.0,448.4861755371094,108.89295959472656,648.6763916015625
4,0.16,1,bus,0.6989725828170776,1078.7436828613281,510.4001770019531,968.9302368164062,350.98602294921875,1188.55712890625,669.8143310546875
4,0.16,2,car,0.588090717792511,703.7145385742188,197.73614501953125,660.3366088867188,156.88893127441406,747.0924682617188,238.58335876464844
4,0.16,4,car,0.5177778005599976,803.7583923339844,119.73563385009766,773.7587890625,95.80966186523438,833.7579956054688,143.66160583496094
4,0.16,5,car,0.5473464131355286,742.8555908203125,74.33646202087402,718.989013671875,55.02460861206055,766.72216796875,93.6483154296875
4,0.16,6,person,0.442464143037796,1648.29443359375,739.5147705078125,1605.493896484375,682.0769653320312,1691.094970703125,796.9525756835938
4,0.16,7,car,0.37557631731033325,48.07250213623047,561.546875,0.0,472.7098388671875,96.14500427246094,650.3839111328125
5,0.2,1,bus,0.48996633291244507,1072.0562438964844,486.4008026123047,962.4772338867188,327.1754455566406,1181.63525390625,645.6261596679688
5,0.2,2,car,0.6058903932571411,705.0605163574219,195.7125244140625,662.2899169921875,155.42030334472656,747.8311157226562,236.00474548339844
5,0.2,4,car,0.5382013916969299,803.973388671875,118.6392936706543,774.224853515625,94.99126434326172,833.721923828125,142.28732299804688
5,0.2,5,car,0.5225345492362976,742.7266235351562,72.86820793151855,718.7328491210938,53.391239166259766,766.7203979492188,92.34517669677734
5,0.2,6,person,0.4106587767601013,1639.619873046875,731.9461975097656,1593.8150634765625,670.0784301757812,1685.4246826171875,793.81396484375
5,0.2,7,car,0.3530057370662689,42.96318817138672,568.5534362792969,0.0,485.37872314453125,85.92637634277344,651.7281494140625
6,0.24,1,bus,0.6332122683525085,1066.4888000488281,470.26036071777344,958.4154663085938,313.0072326660156,1174.5621337890625,627.5134887695312
6,0.24,2,car,0.5596259236335754,707.296142578125,192.1061248779297,665.3375244140625,152.70602416992188,749.2547607421875,231.5062255859375
6,0.24,4,car,0.5475746393203735,804.0551452636719,117.711181640625,774.2413330078125,94.06867980957031,833.8689575195312,141.3536834716797
