frame,time_seconds,track_id,class_id,class_name,confidence,center_x,center_y,x1,y1,x2,y2
0,0.0,1,2,car,0.8836650848388672,579.0665588378906,529.7433929443359,373.01177978515625,345.4709167480469,785.121337890625,714.015869140625
0,0.0,2,2,car,0.6342312097549438,792.6915588378906,387.73382568359375,622.25927734375,230.1031494140625,963.1238403320312,545.364501953125
1,0.04,1,2,car,0.8836773037910461,579.066650390625,529.7432556152344,373.01202392578125,345.47088623046875,785.1212768554688,714.015625
1,0.04,2,2,car,0.6342741250991821,792.6915588378906,387.73499298095703,622.2588500976562,230.10389709472656,963.124267578125,545.3660888671875
2,0.08,1,2,car,0.8917133808135986,579.0224151611328,529.1682586669922,372.9713439941406,344.8834533691406,785.073486328125,713.4530639648438
2,0.08,2,2,car,0.6633806824684143,788.7777404785156,386.92298889160156,614.7877197265625,229.47836303710938,962.7677612304688,544.3676147460938
3,0.12,1,2,car,0.8839975595474243,579.1382446289062,529.2703094482422,372.18426513671875,344.1340637207031,786.0922241210938,714.4065551757812
3,0.12,2,2,car,0.665280818939209,792.2928771972656,387.4761199951172,618.9523315429688,230.50137329101562,965.6334228515625,544.4508666992188
4,0.16,1,2,car,0.8801743984222412,579.14453125,528.7587738037109,371.95892333984375,343.3645324707031,786.3301391601562,714.1530151367188
4,0.16,2,2,car,0.6455292105674744,792.2135925292969,388.61307525634766,618.5961303710938,231.34242248535156,965.8310546875,545.8837280273438
4,0.16,3,0,person,0.4844353199005127,399.78871154785156,248.40850067138672,354.4249267578125,123.09629821777344,445.1524963378906,373.720703125
5,0.2,1,2,car,0.8827488422393799,579.4102325439453,529.239990234375,372.6108093261719,344.14923095703125,786.2096557617188,714.3307495117188
5,0.2,2,2,car,0.6763483285903931,793.1199951171875,387.9529724121094,620.078369140625,231.0718994140625,966.16162109375,544.8340454101562
5,0.2,3,0,person,0.4297786056995392,406.47181701660156,252.57324981689453,363.3525695800781,133.3795623779297,449.591064453125,371.7669372558594
6,0.24,1,2,car,0.8763357400894165,579.2089538574219,530.21484375,373.45892333984375,346.10711669921875,784.958984375,714.3225708007812
