frame,time_seconds,track_id,class_id,class_name,confidence,center_x,center_y,x1,y1,x2,y2
0,0.0,1,2,car,0.7920255064964294,431.398193359375,399.62530517578125,394.3754577636719,372.7696533203125,468.4209289550781,426.48095703125
0,0.0,2,2,car,0.7763069272041321,683.8040771484375,363.7464294433594,652.387939453125,340.8267822265625,715.22021484375,386.66607666015625
0,0.0,3,2,car,0.7444612979888916,573.5726318359375,309.37298583984375,549.4317626953125,290.1661376953125,597.7135009765625,328.579833984375
0,0.0,4,2,car,0.717376708984375,662.0303955078125,302.6361389160156,640.273681640625,288.171142578125,683.787109375,317.10113525390625
0,0.0,5,2,car,0.7094917297363281,1136.02001953125,259.76629638671875,1112.054443359375,245.15081787109375,1159.985595703125,274.38177490234375
0,0.0,6,7,truck,0.7068589925765991,336.31842041015625,507.3658447265625,267.3966064453125,440.6600341796875,405.240234375,574.0716552734375
0,0.0,7,2,car,0.684752345085144,639.2921142578125,622.573974609375,567.082275390625,562.153564453125,711.501953125,682.994384765625
0,0.0,8,2,car,0.6461674571037292,521.1087646484375,285.1724853515625,500.546142578125,272.19537353515625,541.67138671875,298.14959716796875
0,0.0,9,2,car,0.6308803558349609,1056.568603515625,237.94525909423828,1040.988037109375,223.42431640625,1072.149169921875,252.46620178222656
0,0.0,10,2,car,0.5400548577308655,560.7977294921875,244.45941162109375,538.6790771484375,231.674560546875,582.9163818359375,257.2442626953125
0,0.0,11,2,car,0.4855632483959198,707.3836669921875,206.32388305664062,697.5892333984375,196.9072265625,717.1781005859375,215.74053955078125
1,0.03336666666666667,1,2,car,0.7873885631561279,431.402587890625,399.59706115722656,394.39312744140625,372.7523193359375,468.41204833984375,426.4418029785156
1,0.03336666666666667,2,2,car,0.7709473967552185,683.566162109375,363.7129821777344,652.044921875,340.7183532714844,715.08740234375,386.7076110839844
1,0.03336666666666667,3,2,car,0.7592341303825378,573.5039978027344,309.40740966796875,549.50927734375,290.321533203125,597.4987182617188,328.4932861328125
1,0.03336666666666667,5,2,car,0.7152802348136902,1135.9986572265625,259.6905212402344,1112.1949462890625,245.17721557617188,1159.8023681640625,274.2038269042969
1,0.03336666666666667,4,2,car,0.7082121968269348,661.9314575195312,302.6867370605469,640.1681518554688,288.2193298339844,683.6947631835938,317.1541442871094
1,0.03336666666666667,6,7,truck,0.6889249682426453,336.3882598876953,507.2450256347656,267.68511962890625,440.756591796875,405.0914001464844,573.7334594726562
1,0.03336666666666667,7,2,car,0.6872583031654358,639.3379821777344,622.4034118652344,567.0211791992188,561.8907470703125,711.65478515625,682.9160766601562
1,0.03336666666666667,8,2,car,0.6568766832351685,521.5950317382812,284.149169921875,499.78936767578125,270.3631286621094,543.4006958007812,297.9352111816406
1,0.03336666666666667,9,2,car,0.6336996555328369,1056.5927734375,237.99164581298828,1040.9876708984375,223.4466094970703,1072.1978759765625,252.53668212890625
1,0.03336666666666667,10,2,car,0.5479122400283813,560.69287109375,244.58615112304688,538.504638671875,231.7606201171875,582.881103515625,257.41168212890625
1,0.03336666666666667,11,2,car,0.5050848126411438,707.4717102050781,206.27776336669922,697.5621337890625,196.7498779296875,717.3812866210938,215.80564880371094
2,0.06673333333333334,1,2,car,0.8538126945495605,425.7796325683594,409.45176696777344,386.36859130859375,380.84576416015625,465.190673828125,438.0577697753906
2,0.06673333333333334,2,2,car,0.787390947341919,686.5539855957031,371.1871643066406,654.8885498046875,348.0702209472656,718.2194213867188,394.3041076660156
2,0.06673333333333334,4,2,car,0.7113684415817261,663.4230651855469,305.16603088378906,639.7064208984375,289.38922119140625,687.1397094726562,320.9428405761719
2,0.06673333333333334,5,2,car,0.6937488317489624,1128.2655639648438,258.65389251708984,1104.9759521484375,244.4684295654297,1151.55517578125,272.83935546875
2,0.06673333333333334,3,2,car,0.6709339022636414,572.1185607910156,313.37646484375,547.6627807617188,293.92132568359375,596.5743408203125,332.83160400390625
2,0.06673333333333334,7,2,car,0.6655148267745972,643.2191162109375,651.30810546875,572.4058227539062,592.312255859375,714.0324096679688,710.303955078125
2,0.06673333333333334,6,7,truck,0.6289005279541016,325.42694091796875,527.6746368408203,250.95242309570312,455.5615539550781,399.9014587402344,599.7877197265625
2,0.06673333333333334,8,2,car,0.5512993931770325,518.5149536132812,287.7445373535156,495.72711181640625,273.3149719238281,541.3027954101562,302.1741027832031
2,0.06673333333333334,10,2,car,0.530935525894165,560.6611938476562,244.42992401123047,539.53515625,232.2345733642578,581.7872314453125,256.6252746582031
2,0.06673333333333334,9,2,car,0.5182111859321594,1053.05810546875,235.9314422607422,1036.7392578125,220.7093963623047,1069.376953125,251.1534881591797
3,0.10010000000000001,1,2,car,0.8338282108306885,421.9021911621094,416.5597686767578,381.3275146484375,387.08819580078125,462.47686767578125,446.0313415527344
3,0.10010000000000001,6,7,truck,0.7310829162597656,315.0745086669922,545.07421875,235.88864135742188,468.296630859375,394.2603759765625,621.851806640625
3,0.10010000000000001,2,2,car,0.7306860089302063,689.4129028320312,376.5055847167969,656.01220703125,352.0503234863281,722.8135986328125,400.9608459472656
3,0.10010000000000001,4,2,car,0.7071295976638794,664.7866821289062,307.3009796142578,640.5189208984375,291.1583251953125,689.054443359375,323.4436340332031
3,0.10010000000000001,3,2,car,0.6683540940284729,572.6194152832031,316.3895721435547,547.6312866210938,296.47589111328125,597.6075439453125,336.3032531738281
3,0.10010000000000001,7,2,car,0.6515703201293945,646.4540100097656,668.9410095214844,586.0200805664062,619.4733276367188,706.887939453125,718.40869140625
3,0.10010000000000001,5,2,car,0.6473396420478821,1122.0045166015625,257.52809143066406,1099.5374755859375,243.878662109375,1144.4715576171875,271.1775207519531
3,0.10010000000000001,9,2,car,0.6058377623558044,1049.9619140625,235.26480865478516,1033.61181640625,219.98410034179688,1066.31201171875,250.54551696777344
3,0.10010000000000001,8,2,car,0.5819781422615051,516.4828338623047,288.96726989746094,492.4719543457031,273.70806884765625,540.4937133789062,304.2264709472656
3,0.10010000000000001,10,2,car,0.5173180103302002,560.232177734375,244.42827606201172,540.4487915039062,233.05201721191406,580.0155639648438,255.80453491210938
4,0.13346666666666668,2,2,car,0.8431958556175232,692.0301208496094,381.9088134765625,657.024169921875,356.188720703125,727.0360717773438,407.62890625
4,0.13346666666666668,6,7,truck,0.733606219291687,305.56441497802734,562.1083068847656,222.1228485107422,481.04437255859375,389.0059814453125,643.1722412109375
4,0.13346666666666668,1,2,car,0.733195960521698,417.5126647949219,423.995361328125,375.3228759765625,393.31689453125,459.70245361328125,454.673828125
4,0.13346666666666668,3,2,car,0.6639159917831421,571.4452209472656,319.3971252441406,546.2842407226562,299.33575439453125,596.606201171875,339.45849609375
4,0.13346666666666668,7,2,car,0.6593351364135742,646.055419921875,681.3814392089844,598.2010498046875,644.0184326171875,693.9097900390625,718.7444458007812
